id,link,modelo,version,precio,ciudad,km,año,ESTADO,UBICACIÓN,PLACA,TIPO DE CAJA,COMBUSTIBLE,CILINDRAJE,COLOR,PUERTAS,AIRBAGS,DIRECCIÓN,
8458b8fb-2f95-42b1-a5bc-d454803e5c12,https://www.carroya.com/detalle/usado/bmw/x2/2019/cajica/8458b8fb-2f95-42b1-a5bc-d454803e5c12,BMW X2,sDrive 20i Premium,$110.000.000,Cajica,67.000 km,2019,usado,Cajica,**3 Bogota,Automática,Gasolina,2.000,Negro,4,,,
f502baa1-3537-448b-b391-80829644ff06,https://www.carroya.com/detalle/usado/volkswagen/jetta/2019/bogota/f502baa1-3537-448b-b391-80829644ff06,Volkswagen Jetta,,$53.000.000,Bogota,115.000 km,2019,usado,Bogota,**0 Bogota,Automática,Gasolina,1.399,Gris,,,,
f674328c-d998-4a29-8bb0-8da5e00158bb,https://www.carroya.com/detalle/usado/nissan/qashqai/2016/cali/f674328c-d998-4a29-8bb0-8da5e00158bb,Nissan Qashqai,2.0 Automatica Full Equipo,$69.500.000,Cali,66.500 km,2016,usado,Cali,**0 Cali,Automática,Gasolina,2.000,Negro,,,,
c9a0bf4d-09d6-4544-a705-28f50fe8107e,https://www.carroya.com/detalle/usado/renault/clio/2007/cali/c9a0bf4d-09d6-4544-a705-28f50fe8107e,Renault Clio,1.4 Dynamique,$17.900.000,Cali,118.000 km,2007,usado,Cali,**4 Bogota,Mecánica,Gasolina,0,Plateado,,,,
2281829,https://www.carroya.com/detalle/usado/chevrolet/onix/2021/bogota/2281829,Chevrolet Onix,1.0 Turbo LT Sedan Automatico,$59.000.000,Bogota,39.000 km,2021,usado,Bogota,**3 Bogota,Secuencial,Gasolina,1.000,Plateado,,Airbags,,
2282293,https://www.carroya.com/detalle/usado/nissan/sentra/2016/bogota/2282293,Nissan Sentra,1.8 Advance CVT Full Equipo,$56.000.000,Bogota,42.070 km,2016,usado,Bogota,**8 Bogota,Secuencial,Gasolina,1.800,Rojo,,Airbags,,
2281093,https://www.carroya.com/detalle/usado/citroen/c-elysee/2023/bogota/2281093,Citroen C-Elysee,Shine 1.6 Sedan Mecanico,$60.000.000,Bogota,5.670 km,2023,usado,Bogota,**3 Bogota,Mecánica,Gasolina,1.600,Blanco,,Airbags,,
2281837,https://www.carroya.com/detalle/usado/fiat/uno/2021/bogota/2281837,Fiat Uno,Attractive 1.4 5 Puertas,$39.000.000,,52.825 km,2021,usado,Bogota,**8 Madrid,Mecánica,Gasolina,1.400,Negro,,Airbags,,
2282047,https://www.carroya.com/detalle/usado/dodge/journey/2015/bogota/2282047,Dodge Journey,2.4 SE 5 Puestos,$62.000.000,Bogota,109.000 km,2015,usado,Bogota,**3 Cali,Secuencial,Gasolina,2.400,Blanco,,Airbags,,
2282424,https://www.carroya.com/detalle/usado/renault/duster-oroch/2020/bogota/2282424,Renault Duster Oroch,,$70.000.000,Bogota,72.000 km,2020,usado,Bogota,**1 Girardot,Mecánica,Gasolina,2.000,Gris,,Airbags,,
eaf05bfb-d421-4370-989c-b092c447142d,https://www.carroya.com/detalle/usado/bmw/serie-1/2010/bogota/eaf05bfb-d421-4370-989c-b092c447142d,BMW Serie 1,120i M edition 5p Mecanico,$43.000.000,Bogota,105.600 km,2010,usado,Bogota,**2 Bogota,Mecánica,Gasolina,2.000,Plateado,,,,
af99e7ea-c33c-4c1f-8169-22087bba1182,https://www.carroya.com/detalle/usado/ford/fiesta/2019/garzon/af99e7ea-c33c-4c1f-8169-22087bba1182,Ford Fiesta,1.6 Powershift Titanium Sporback Automatico,$50.000.000,Garzon,72.000 km,2019,usado,Garzon,**3 Bogota,Automática,Gasolina,1.600,Gris,,,,
72ae56dc-6bf9-4fa2-b9a5-ee402530c4a5,https://www.carroya.com/detalle/usado/renault/stepway/2023/cali/72ae56dc-6bf9-4fa2-b9a5-ee402530c4a5,Renault Stepway,Intens,$65.000.000,Cali,18.000 km,2023,usado,Cali,**1 Cali,Mecánica,Gasolina,16,Gris,4,,,
7e6c481f-d7f7-420d-ab98-ed6f51f12fb5,https://www.carroya.com/detalle/usado/suzuki/swift/2023/bogota/7e6c481f-d7f7-420d-ab98-ed6f51f12fb5,Suzuki Swift,DZIRE 1.2 GA,$46.900.000,Bogota,23.000 km,2023,usado,Bogota,**8 Palmira,Mecánica,Gasolina,1.200,Gris,,,,
26b1afeb-a4ae-47bc-9438-ee10415eff37,https://www.carroya.com/detalle/usado/chevrolet/cruze/2011/bogota/26b1afeb-a4ae-47bc-9438-ee10415eff37,Chevrolet Cruze,1.8 LS Automatico,$28.900.000,Bogota,58.000 km,2011,usado,Bogota,**8 Bogota,Automática,Gasolina,1.800,Gris,,,,
7ebda808-40ac-49bf-a958-f83c33d41143,https://www.carroya.com/detalle/usado/chevrolet/zafira/2009/bogota/7ebda808-40ac-49bf-a958-f83c33d41143,Chevrolet Zafira,2.0 Mecanica,$30.000.000,Bogota,178.000 km,2009,usado,Bogota,**7 Bogota,Mecánica,Gasolina,2.000,Gris,,,,
1aa28f23-32b6-4033-a6c3-2aab8249341b,https://www.carroya.com/detalle/usado/mercedes-benz/clase-a/2015/bogota/1aa28f23-32b6-4033-a6c3-2aab8249341b,Mercedes Benz Clase A,200 Aut,$68.000.000,Bogota,63.300 km,2015,usado,Bogota,**4 Bogota,Automática,Gasolina,1.600,Gris,4,,,
04a9024c-57b4-4dec-b882-db067fa52e4d,https://www.carroya.com/detalle/usado/chevrolet/captiva/2015/armenia/04a9024c-57b4-4dec-b882-db067fa52e4d,Chevrolet Captiva,2.4 LS Sport Automatica,$35.000.000,Armenia,80.200 km,2015,usado,Armenia,**1 Armenia,Automática,Gasolina,2.384,Rojo,,,,
63db4eb8-e63b-448d-b388-72a246963117,https://www.carroya.com/detalle/usado/kia/sportage/1996/bogota/63db4eb8-e63b-448d-b388-72a246963117,KIA Sportage,2.0 4x4 Mecanica,$20.000.100,Bogota,8.000 km,1996,usado,Bogota,**7 Bogota,Mecánica,Gasolina,2.000,Azul,,,,
2282139,https://www.carroya.com/detalle/usado/mazda/6/2020/bogota/2282139,Mazda 6,2.5 Turbo Signature,$102.900.000,Bogota,14.972 km,2020,usado,Bogota,**6 Bogota,Automática,Gasolina,2.500,Rojo,4,,,
2282094,https://www.carroya.com/detalle/usado/mercedes-benz/clase-gla/2019/bogota/2282094,Mercedes Benz Clase GLA,200 Urban,$102.900.000,Bogota,21.487 km,2019,usado,Bogota,**4 Bogota,Automática,Gasolina,1.595,Gris,5,,,
2282097,https://www.carroya.com/detalle/usado/mercedes-benz/clase-c/2021/bogota/2282097,Mercedes Benz Clase C,43 AMG 4Matic,$205.900.000,Bogota,10.777 km,2021,usado,Bogota,**7 Bogota,Automática,Gasolina,3.000,Blanco,,,,
2281323,https://www.carroya.com/detalle/usado/renault/koleos/2021/bogota/2281323,Renault Koleos,,$99.900.000,Bogota,32.754 km,2021,usado,Bogota,**0 Bogota,Automática,Gasolina,2.500,Plateado,,,Asistencia Hidráulica,
2280034,https://www.carroya.com/detalle/usado/audi/q7/2022/bogota/2280034,AUDI Q7,,$229.900.000,Bogota,10.922 km,2022,usado,Bogota,**0 Bogota,Automática,Gasolina,3.000,Azul,,,Asistencia Hidráulica,
2280457,https://www.carroya.com/detalle/usado/audi/q5/2022/bogota/2280457,AUDI Q5,,$198.900.000,Bogota,10.888 km,2022,usado,Bogota,**7 Bogota,Automática,Gasolina,2.000,Negro,,,Asistencia Hidráulica,
6384eb24-be05-42ab-bad6-6e659f84182f,https://www.carroya.com/detalle/usado/mitsubishi/pajero/1995/penol/6384eb24-be05-42ab-bad6-6e659f84182f,Mitsubishi Pajero,Mecanica,$28.500.000,Penol,289.262 km,1995,usado,Penol,**9 Rionegro,Mecánica,Gasolina,2.600,Plateado,,,,
51809c09-39b0-43fb-9221-44ad318430fe,https://www.carroya.com/detalle/usado/suzuki/vitara/2021/chia/51809c09-39b0-43fb-9221-44ad318430fe,Suzuki Vitara,GLX FS 1.6 4X4 AUT,$86.000.000,Chia,15.500 km,2021,usado,Chia,**9 Chia,Automática,Gasolina,1.600,Gris,,,,
611a228a-46f5-4443-9200-5d4e63f57fc9,https://www.carroya.com/detalle/usado/suzuki/swift/2022/bogota/611a228a-46f5-4443-9200-5d4e63f57fc9,Suzuki Swift,1.2 HB GA,$48.500.000,Bogota,110.000 km,2022,usado,Bogota,**8 Bogota,Mecánica,Híbrido,4,Plateado,,,,
52d3b79a-2bef-4260-9bf9-1cdf0ba9bede,https://www.carroya.com/detalle/usado/suzuki/lj-80/1980/bogota/52d3b79a-2bef-4260-9bf9-1cdf0ba9bede,Suzuki Lj 80,800,$33.500.000,Bogota,101 km,1980,usado,Bogota,**7 Tunja,Mecánica,Gasolina,800,Azul,,,,
