id,link,modelo,version,precio,ciudad,km,año,ESTADO,UBICACIÓN,PLACA,TIPO DE CAJA,COMBUSTIBLE,CILINDRAJE,COLOR,AIRBAGS,PUERTAS,DIRECCIÓN,
4ef51f68-673b-4f9c-8f24-c235a934f5f8,https://www.carroya.com/detalle/usado/mazda/2/2024/cali/4ef51f68-673b-4f9c-8f24-c235a934f5f8,Mazda 2,Grand Touring LX 1.5 Sedan Automatico,$86.000.000,Cali,15.982 km,2024,usado,Cali,**8 Cali,Automática,Gasolina,1.500,Azul,,,,
2283393,https://www.carroya.com/detalle/usado/mazda/bt-50/2014/bogota/2283393,Mazda BT-50,Professional 3.2 4x4 Automatica Diesel,$96.900.000,Bogota,103.000 km,2014,usado,Bogota,**4 Bogota,Automática,Diesel,3.200,Gris,Airbags,,,
c33721f6-93ec-4d28-aa22-1dcaf6f7d23e,https://www.carroya.com/detalle/usado/mazda/cx-30/2022/envigado/c33721f6-93ec-4d28-aa22-1dcaf6f7d23e,Mazda CX-30,Grand Touring 2.0 Suv Automatico 4x2,$102.000.000,Envigado,45.000 km,2022,usado,Envigado,**2 Envigado,Automática,Gasolina,2.000,Gris,,null,,
2a773294-3c25-45e3-ac5d-41e2bad26f69,https://www.carroya.com/detalle/usado/mazda/3/2016/bogota/2a773294-3c25-45e3-ac5d-41e2bad26f69,Mazda 3,Touring 2.0 Sedan Automatico,$60.000.000,Bogota,70.000 km,2016,usado,Bogota,**0 Bogota,Automática,Gasolina,2.000,Gris,,,,
6262440f-01a6-4f15-b688-4d1f9bb169a5,https://www.carroya.com/detalle/usado/mazda/cx-30/2023/bogota/6262440f-01a6-4f15-b688-4d1f9bb169a5,Mazda CX-30,Grand Touring 2.0 4X2 Automática Hybrid,$110.000.000,Bogota,32.000 km,2023,usado,Bogota,**0 Bogota,Automática,Híbrido,20,Rojo,,5,,
2283665,https://www.carroya.com/detalle/usado/mazda/cx-30/2023/bogota/2283665,Mazda CX-30,Grand Touring LX 2.0 4X2 Automática Hybrid,$123.990.000,Bogota,29.550 km,2023,usado,Bogota,**6 Bogota,Automática,Híbrido,20,Gris,Airbags,,,
2283841,https://www.carroya.com/detalle/usado/mazda/2/2021/bogota/2283841,Mazda 2,Touring 1.5 Sedan Manual,$58.990.000,Bogota,62.590 km,2021,usado,Bogota,**6 Bogota,Mecánica,Gasolina,15,Plateado,Airbags,,,
2284147,https://www.carroya.com/detalle/usado/mazda/cx-5/2018/barranquilla/2284147,Mazda CX-5,Touring 2.5 Suv Automatico 4x2,$75.000.000,Barranquilla,88.755 km,2018,usado,Barranquilla,**1 Cartagena,Automática,Gasolina,2.488,Rojo,,,Asistencia Eléctrica,
d5c4b0e5-f54d-429e-9a82-80ad3b3627ed,https://www.carroya.com/detalle/usado/mazda/bt-50/2013/bogota/d5c4b0e5-f54d-429e-9a82-80ad3b3627ed,Mazda BT-50,2.5 4X4 Diesel,$75.000.000,Bogota,128.350 km,2013,usado,Bogota,**3 Bogota,Mecánica,Diesel,25,Blanco,,,,
59689375-67e5-4f9f-ab7a-b988901dd3b7,https://www.carroya.com/detalle/usado/mazda/cx-3/2019/bogota/59689375-67e5-4f9f-ab7a-b988901dd3b7,Mazda CX-3,Grand Touring LX,$85.000.000,Bogota,53.200 km,2019,usado,Bogota,**7 Bogota,Automática,Gasolina,1.998,Rojo,,5,,
380370f8-79b0-4aa8-b964-4f261b26097c,https://www.carroya.com/detalle/usado/mazda/3/2017/bogota/380370f8-79b0-4aa8-b964-4f261b26097c,Mazda 3,2.0 Sedan Touring Aut,$53.999.999,Bogota,95.000 km,2017,usado,Bogota,**4 Envigado,Automática,Gasolina,1.999,Gris,,,,
ac5bf56e-9ab0-4e1a-a4a8-08908e953e90,https://www.carroya.com/detalle/usado/mazda/2/2010/bogota/ac5bf56e-9ab0-4e1a-a4a8-08908e953e90,Mazda 2,1.5 Sport Aut,$28.900.000,Bogota,134.500 km,2010,usado,Bogota,**3 Bogota,Automática,Gasolina,15,Verde,,,,
4aa0edc9-82ee-46de-bafc-ce9cc7185b63,https://www.carroya.com/detalle/usado/mazda/3/2015/chia/4aa0edc9-82ee-46de-bafc-ce9cc7185b63,Mazda 3,2.0 Sedan Touring Aut,$50.000.000,Chia,82.700 km,2015,usado,Chia,**1 Bogota,Automática,Gasolina,1.998,Gris,,,,
8b38db3c-1a98-4563-99a7-eecd64611cd4,https://www.carroya.com/detalle/usado/mazda/3/2022/bogota/8b38db3c-1a98-4563-99a7-eecd64611cd4,Mazda 3,2.0 Sedan Touring Aut,$90.000.000,Bogota,32.400 km,2022,usado,Bogota,**4 Bogota,Automática,Gasolina,20,Plateado,,,,
7d6930ba-957f-4025-ba3c-33b33ae5916a,https://www.carroya.com/detalle/usado/mazda/cx-5/2016/bogota/7d6930ba-957f-4025-ba3c-33b33ae5916a,Mazda CX-5,Touring 2.0 Suv Automatico 4x2,$69.500.000,Bogota,68.000 km,2016,usado,Bogota,**2 Bogota,Secuencial,Gasolina,20,Plateado,,5,,
2284146,https://www.carroya.com/detalle/usado/mazda/cx-9/2019/bogota/2284146,Mazda CX-9,,$119.990.000,Bogota,37.980 km,2019,usado,Bogota,**4 Bogota,Automática,Gasolina,25,Plateado,Airbags,,,
2284040,https://www.carroya.com/detalle/usado/mazda/3/2015/bogota/2284040,Mazda 3,2.0 Sport Automatico,$54.900.000,Bogota,71.000 km,2015,usado,Bogota,**1 Bogota,Automática,Gasolina,2.000,Gris,Airbags,,,
2284093,https://www.carroya.com/detalle/usado/mazda/3-all-new/2013/bogota/2284093,Mazda 3 All New,,$39.990.000,Bogota,108.510 km,2013,usado,Bogota,**2 Bogota,Mecánica,Gasolina,16,Blanco,Airbags,,,
99d6f347-f03a-499c-9b76-fe2013c0992e,https://www.carroya.com/detalle/usado/mazda/cx-5/2020/cali/99d6f347-f03a-499c-9b76-fe2013c0992e,Mazda CX-5,Touring 2.5 Suv Automatico 4x2,$110.000.000,Cali,38.500 km,2020,usado,Cali,**2 Envigado,Automática,Gasolina,0,Blanco,,5,,
afa6fd38-e374-4a75-9ab2-fdb128744225,https://www.carroya.com/detalle/usado/mazda/3/2012/bogota/afa6fd38-e374-4a75-9ab2-fdb128744225,Mazda 3,1.6 Sedan Mecanico,$32.200.000,Bogota,63.200 km,2012,usado,Bogota,**7 Bogota,Mecánica,Gasolina,1.600,Azul,,,,
f623a449-7774-4140-be6b-a4093ecfe9cd,https://www.carroya.com/detalle/usado/mazda/2/2020/cali/f623a449-7774-4140-be6b-a4093ecfe9cd,Mazda 2,Grand Touring LX 1.5 Sedan Automatico,$71.000.000,Cali,23.000 km,2020,usado,Cali,**9 Restrepo,Automática,Gasolina,1.499,Plateado,,5,,
18ab6fc2-f7b5-40df-84f5-6ca0604bb7d0,https://www.carroya.com/detalle/usado/mazda/3/2009/bogota/18ab6fc2-f7b5-40df-84f5-6ca0604bb7d0,Mazda 3,,$27.800.000,Bogota,160.000 km,2009,usado,Bogota,**7 Bogota,Mecánica,Gasolina,1.599,Negro,,,,
c522940a-c30d-4cc7-81fa-4e335638e6b1,https://www.carroya.com/detalle/usado/mazda/2/2019/pereira/c522940a-c30d-4cc7-81fa-4e335638e6b1,Mazda 2,Grand Touring LX 1.5 Sedan Automatico,$65.000.000,Pereira,39.000 km,2019,usado,Pereira,**8 Pereira,Automática,Gasolina,1.500,Otro,,5,,
