id,link,modelo,version,precio,ciudad,km,año,ESTADO,UBICACIÓN,PLACA,TIPO DE CAJA,COMBUSTIBLE,CILINDRAJE,COLOR,PUERTAS,AIRBAGS,DIRECCIÓN
4aa6064e-16b9-4aaa-9170-ff0fd739e522,https://www.carroya.com/detalle/usado/nissan/march/2020/pereira/4aa6064e-16b9-4aaa-9170-ff0fd739e522,Nissan March,Active,$38.000.000,Pereira,61.000 km,2020,usado,Pereira,**6 Pereira,Mecánica,Gasolina,16,Gris,5,,
09258ec0-1b37-434f-b597-402739d9d34e,https://www.carroya.com/detalle/usado/renault/duster/2016/el-carmen-de-viboral/09258ec0-1b37-434f-b597-402739d9d34e,Renault Duster,Dynamique 2.0 4x2 Mecanica,$43.000.000,El carmen de viboral,144.000 km,2016,usado,El carmen de viboral,**8 Sabaneta,Mecánica,Gasolina,20,Gris,,,
ec6a3a55-1fe0-423b-91b4-82ee9f287ce3,https://www.carroya.com/detalle/usado/mazda/3/2022/ibague/ec6a3a55-1fe0-423b-91b4-82ee9f287ce3,Mazda 3,2.0 Sedan Touring Aut,$92.000.000,Ibague,20.100 km,2022,usado,Ibague,**1 Ibague,Automática,Gasolina,2.000,Rojo,,,
2281550,https://www.carroya.com/detalle/usado/skoda/octavia/2013/bogota/2281550,Skoda Octavia,Ambiente 1.6 Mecanico,$33.500.000,Bogota,85.000 km,2013,usado,Bogota,**4 Bogota,Mecánica,Gasolina,1.600,Azul,,Airbags,
2280021,https://www.carroya.com/detalle/usado/bmw/serie-3/2018/bogota/2280021,BMW Serie 3,320i Sport Line F30,$94.000.000,Bogota,37.000 km,2018,usado,Bogota,**6 Bogota,Secuencial,Gasolina,2.000,Gris,,Airbags,
2282432,https://www.carroya.com/detalle/usado/dodge/journey/2014/bogota/2282432,Dodge Journey,2.4 SE 5 Puestos,$48.500.000,Bogota,45.000 km,2014,usado,Bogota,**4 Bogota,Automática,Gasolina,2.400,Blanco,,Airbags,
2280612,https://www.carroya.com/detalle/usado/bmw/serie-3/2011/bogota/2280612,BMW Serie 3,320i Executive Automatico,$55.000.000,Bogota,70.000 km,2011,usado,Bogota,**4 Bogota,Automática,Gasolina,2.000,Gris,,Airbags,
2282219,https://www.carroya.com/detalle/usado/chevrolet/tracker/2016/bogota/2282219,Chevrolet Tracker,1.8 LT MCM Automatica,$51.000.000,Bogota,40.000 km,2016,usado,Bogota,**4 Bogota,Automática,Gasolina,1.800,Azul,,Airbags,
2274048,https://www.carroya.com/detalle/usado/mini/countryman/2014/bogota/2274048,Mini Countryman,Cooper S,$69.000.000,Bogota,55.000 km,2014,usado,Bogota,**0 Bogota,Secuencial,Gasolina,1.600,Rojo,,Airbags,
2281931,https://www.carroya.com/detalle/usado/audi/q3/2015/bogota/2281931,AUDI Q3,2.0 AMBITION T 4X4 S-TRONIC,$67.000.000,Bogota,60.000 km,2015,usado,Bogota,**1 Bogota,Secuencial,Gasolina,2.000,Beige,,Airbags,
2282524,https://www.carroya.com/detalle/usado/subaru/outback/2014/bogota/2282524,Subaru Outback,3.6 PREMIUM AWD Aut,$66.000.000,Bogota,60.000 km,2014,usado,Bogota,**5 Bogota,Secuencial,Gasolina,3.600,Plateado,,Airbags,
44e724ea-ce8f-4168-872c-1a2ea63c176f,https://www.carroya.com/detalle/usado/bmw/m/2019/bogota/44e724ea-ce8f-4168-872c-1a2ea63c176f,BMW M,240i,$145.000.000,Bogota,30.700 km,2019,usado,Bogota,**3 Medellin,Automática,Gasolina,2.998,Gris,,,
0a74a06d-4cd4-4b9f-83b1-5654d24a7f22,https://www.carroya.com/detalle/usado/jeep/compass/2011/bogota/0a74a06d-4cd4-4b9f-83b1-5654d24a7f22,JEEP Compass,2.4 Limited Automatico,$39.900.000,Bogota,141.500 km,2011,usado,Bogota,**0 Bucaramanga,Automática,Gasolina,2.400,Azul,,,
7072a54a-8dc1-4600-8dbe-9f1a37c81d8e,https://www.carroya.com/detalle/usado/byd/tang/2023/medellin/7072a54a-8dc1-4600-8dbe-9f1a37c81d8e,BYD Tang,,$260.000.000,Medellin,40.000 km,2023,usado,Medellin,**4 Medellin,Automática,Eléctrico,0,Gris,,,
27fe8b7b-5769-45d5-a92f-98d0416679c7,https://www.carroya.com/detalle/usado/volkswagen/golf/2017/bogota/27fe8b7b-5769-45d5-a92f-98d0416679c7,Volkswagen Golf,1.6 4p Automatico Full Equipo,$61.900.000,Bogota,27.000 km,2017,usado,Bogota,**1 Bogota,Automática,Gasolina,16,Plateado,,,
3c157c91-11b3-49ed-8aa2-297c915c84f3,https://www.carroya.com/detalle/usado/kia/rio/2014/medellin/3c157c91-11b3-49ed-8aa2-297c915c84f3,KIA Rio,1.4 Automatico,$42.000.000,Medellin,118.000 km,2014,usado,Medellin,**4 Envigado,Automática,Gasolina,1.400,Blanco,,,
3921ecbc-d576-443b-9d35-b9b50d62873a,https://www.carroya.com/detalle/usado/jeep/renegade/2019/cali/3921ecbc-d576-443b-9d35-b9b50d62873a,JEEP Renegade,Sport 1.8 Aut,$58.000.000,Cali,27.000 km,2019,usado,Cali,**0 Cali,Automática,Gasolina,1.800,Gris,5,,
7c50995c-1254-41a0-868b-3be93c101ee7,https://www.carroya.com/detalle/usado/mercedes-benz/clase-c/2011/bogota/7c50995c-1254-41a0-868b-3be93c101ee7,Mercedes Benz Clase C,180 CGI Aut,$43.000.000,Bogota,138.000 km,2011,usado,Bogota,**5 Bucaramanga,Automática,Gasolina,1.800,Negro,,,
ec5c1ee7-6299-415f-8b1d-92ba9a6a5a54,https://www.carroya.com/detalle/usado/ford/edge/2019/bogota/ec5c1ee7-6299-415f-8b1d-92ba9a6a5a54,Ford Edge,2.7 ST,$139.000.000,Bogota,64.000 km,2019,usado,Bogota,**7 Bogota,Secuencial,Gasolina,64.000,Blanco,5,,
2282090,https://www.carroya.com/detalle/usado/chery/yoya/2015/bogota/2282090,Chery Yoya,1.3 Pasajeros,$27.500.000,Bogota,83.000 km,2015,usado,Bogota,**0 Bogota,Mecánica,Gasolina,1.300,Azul,,,
2282405,https://www.carroya.com/detalle/usado/chevrolet/tracker/2013/bogota/2282405,Chevrolet Tracker,1.8 LS Automatica,$38.900.000,Bogota,73.000 km,2013,usado,Bogota,**2 Bogota,Automática,Gasolina,1.796,Vinotinto,,Airbags,
2281524,https://www.carroya.com/detalle/usado/toyota/hilux/2011/bogota/2281524,Toyota Hilux,,$94.900.000,Bogota,131.000 km,2011,usado,Bogota,**7 Bogota,Mecánica,Gasolina,2.700,Beige,,,Asistencia Hidráulica
2282404,https://www.carroya.com/detalle/usado/mazda/3/2018/bogota/2282404,Mazda 3,Touring 2.0 Sedan Automatico,$61.900.000,Bogota,62.000 km,2018,usado,Bogota,**1 Bogota,Automática,Gasolina,2.000,Rojo,,,Asistencia Hidráulica
eaf05bfb-d421-4370-989c-b092c447142d,https://www.carroya.com/detalle/usado/bmw/serie-1/2010/bogota/eaf05bfb-d421-4370-989c-b092c447142d,BMW Serie 1,120i M edition 5p Mecanico,$42.000.000,Bogota,105.600 km,2010,usado,Bogota,**2 Bogota,Mecánica,Gasolina,2.000,Plateado,,,
c93f0b3c-730a-480a-af07-ca80bd009e6c,https://www.carroya.com/detalle/usado/mercedes-benz/clase-a/2017/bogota/c93f0b3c-730a-480a-af07-ca80bd009e6c,Mercedes Benz Clase A,A45 AMG Aut,$120.000.000,Bogota,45.000 km,2017,usado,Bogota,**8 Bogota,Automática,Gasolina,2.000,Blanco,5,,
e18151c8-6b86-444f-94ca-5e4228268e98,https://www.carroya.com/detalle/usado/suzuki/swift/2022/bogota/e18151c8-6b86-444f-94ca-5e4228268e98,Suzuki Swift,,$65.000.000,Bogota,16.000 km,2022,usado,Bogota,**5 Bogota,Mecánica,Híbrido,1.200,Plateado,,,
16eee005-89bc-4c92-90bb-23a8180bae93,https://www.carroya.com/detalle/usado/renault/sandero/2022/bogota/16eee005-89bc-4c92-90bb-23a8180bae93,Renault Sandero,,$51.000.000,Bogota,8.500 km,2022,usado,Bogota,**8 Bogota,Mecánica,Gasolina,1.600,Gris,,,
8fa9cfa5-47ae-40f2-9e72-f596617c3518,https://www.carroya.com/detalle/usado/renault/logan/2019/bogota/8fa9cfa5-47ae-40f2-9e72-f596617c3518,Renault Logan,Exclusive,$48.000.000,Bogota,32.000 km,2019,usado,Bogota,**7 Bogota,Mecánica,Gasolina,1.600,Beige,4,,
2275051,https://www.carroya.com/detalle/usado/chevrolet/tracker/2014/medellin/2275051,Chevrolet Tracker,1.8 FWD LT Automatica,$50.000.000,Medellin,77.000 km,2014,usado,Medellin,**6 Medellin,Automática,Gasolina,1.800,Blanco,,,Asistencia Hidráulica
