iter	RMSE
0	40207611.01
1	38084778.14
2	36070926.3
3	34290173.27
4	32609927.31
5	31083144.62
6	29657314.04
7	28387761.27
8	27219051.82
9	26160644.15
10	25189912.44
11	24293731.61
12	23489108.26
13	22768640.87
14	22070883.6
15	21448864.96
16	20875709.67
17	20358916.61
18	19888222.67
19	19463516.21
20	19087174.02
21	18723336.65
22	18391277.17
23	18077337.64
24	17801946.01
25	17533046.47
26	17296183.59
27	17053413.39
28	16837687.35
29	16624343.16
30	16413701.23
31	16230858.21
32	16071925.1
33	15930117.79
34	15764323.12
35	15624482.95
36	15480608.52
37	15370029.19
38	15248640.66
39	15152621.55
40	15052719.29
41	14943887.86
42	14852067.22
43	14776046.6
44	14703230.83
45	14637980.43
46	14547533.69
47	14462956.39
48	14395824.92
49	14343241.6
50	14288792.41
51	14229767.26
52	14163208.56
53	14103361.76
54	14027774.09
55	13972015.22
56	13917482.88
57	13872788.04
58	13824734.59
59	13783603.74
60	13722481.09
61	13690464.01
62	13637644.52
63	13599942.76
64	13562799.98
65	13519858.04
66	13480545.04
67	13448054.6
68	13402241.64
69	13370084.32
70	13337482.83
71	13317210.51
72	13285026.33
73	13262338.04
74	13239652.9
75	13214204.7
76	13186960.03
77	13145009.56
78	13110891.2
79	13087976.63
80	13072811.98
81	13051920.06
82	13029651.57
83	13009578.19
84	12971856.64
85	12949208.6
86	12924773.26
87	12881973.61
88	12859965.24
89	12833721.48
90	12820718.6
91	12801855.38
92	12780594.05
93	12758249.12
94	12727391.84
95	12689474.28
96	12667643.16
97	12642696.46
98	12629919.15
99	12607091.57
100	12589674.7
101	12573392.41
102	12554138.71
103	12538521.34
104	12517407.78
105	12504619.9
106	12495112.66
107	12465873.66
108	12446036.49
109	12430385.43
110	12413898.1
111	12384806.52
112	12356227.05
113	12327001.66
114	12313462.62
115	12288685.88
116	12272112.7
117	12258553.83
118	12236276.13
119	12219311.18
120	12199671.25
121	12183451.53
122	12170182.54
123	12161361.88
124	12148956.83
125	12129041.84
126	12115552.89
127	12097503.21
128	12088670.48
129	12074222.11
130	12049021.68
131	12013651.18
132	11998328.53
133	11977775.77
134	11961272.63
135	11936946.72
136	11921090.2
137	11904725.93
138	11885608.2
139	11862574.48
140	11852254.44
141	11843348.59
142	11836559.41
143	11811570.42
144	11795880.09
145	11781255.64
146	11766253.07
147	11745118.85
148	11739753.51
149	11722091.26
150	11710038.67
151	11698029.32
152	11684073.47
153	11671197.12
154	11660357.3
155	11648104.98
156	11636199.99
157	11618390.33
158	11599697.85
159	11588997.19
160	11572538.68
161	11557501.63
162	11545609.85
163	11533053.2
164	11522335.84
165	11509527.81
166	11497091.3
167	11481973.42
168	11473106.88
169	11462092.99
170	11450318.97
171	11438992.2
172	11425940.93
173	11415191.85
174	11406719.62
175	11395739.29
176	11381439.74
177	11369478.13
178	11359165.59
179	11348387.28
180	11336270.32
181	11328918.57
182	11322403.33
183	11313001.39
184	11301466.67
185	11291689.54
186	11282153.84
187	11271218.31
188	11259491.41
189	11251665.93
190	11240522.76
191	11230492.16
192	11220166.85
193	11209750.97
194	11200080.83
195	11183369.7
196	11174915.65
197	11165468.73
198	11153366.54
199	11146507.45
200	11133709.55
201	11124742.8
202	11109727.22
203	11100450.31
204	11090843.06
205	11082090.26
206	11075632.11
207	11066033.29
208	11051005.53
209	11043866.83
210	11037774.45
211	11028499.17
212	11015514.48
213	11006194.79
214	10997809.11
215	10993902.46
216	10986598.62
217	10973969.54
218	10968495.54
219	10961427.31
220	10952371.19
221	10944578.01
222	10935928.07
223	10928351.81
224	10920853.49
225	10913384.41
226	10907484.69
227	10898166.99
228	10886679.98
229	10879638.48
230	10873180.22
231	10864905.27
232	10859382.21
233	10852590.85
234	10844463.06
235	10836690.87
236	10829823.13
237	10822846.24
238	10809018.01
239	10800426.86
240	10793756.84
241	10790565.88
242	10784341.19
243	10779314.81
244	10774358.62
245	10768365.57
246	10758454.41
247	10752734.05
248	10744806.04
249	10733590.8
250	10728109.75
251	10715926.84
252	10710734.09
253	10705346.28
254	10697577.71
255	10693506.45
256	10686024.48
257	10680544.57
258	10671351.44
259	10665398
260	10658265.87
261	10652454
262	10646993.54
263	10639173.9
264	10630836.53
265	10624497.62
266	10617984.61
267	10612723.98
268	10607347.31
269	10600026.37
270	10593273.55
271	10589623.3
272	10584141.96
273	10579079.53
