iter	Passed	Remaining
0	132	132837
1	140	70202
2	146	48732
3	152	37942
4	159	31769
5	165	27395
6	172	24434
7	178	22165
8	186	20520
9	192	19102
10	199	17942
11	205	16914
12	211	16050
13	218	15400
14	224	14758
15	231	14255
16	237	13740
17	243	13302
18	250	12923
19	255	12543
20	262	12250
21	268	11957
22	275	11703
23	281	11445
24	287	11210
25	294	11031
26	301	10856
27	309	10745
28	315	10552
29	324	10486
30	330	10331
31	338	10229
32	345	10124
33	353	10040
34	359	9925
35	365	9793
36	374	9735
37	380	9621
38	386	9533
39	392	9429
40	399	9347
41	405	9255
42	410	9146
43	418	9084
44	423	8995
45	432	8960
46	438	8884
47	445	8843
48	453	8804
49	463	8814
50	470	8757
51	480	8756
52	487	8707
53	495	8687
54	502	8636
55	511	8617
56	518	8576
57	526	8550
58	533	8502
59	541	8480
60	548	8440
61	555	8407
62	563	8378
63	572	8375
64	581	8357
65	591	8371
66	598	8328
67	606	8310
68	613	8275
69	621	8259
70	628	8224
71	638	8226
72	644	8187
73	653	8174
74	659	8135
75	667	8113
76	673	8078
77	682	8066
78	689	8036
79	697	8026
80	704	7995
81	713	7983
82	720	7962
83	729	7949
84	736	7926
85	746	7934
86	753	7902
87	761	7893
88	768	7864
89	776	7849
90	782	7815
91	791	7807
92	797	7779
93	805	7761
94	811	7730
95	818	7706
96	825	7682
97	831	7652
98	840	7647
99	846	7620
100	854	7604
101	860	7579
102	868	7565
103	875	7544
104	884	7535
105	890	7511
106	897	7491
107	904	7469
108	912	7457
109	919	7436
110	925	7415
111	934	7409
112	944	7410
113	951	7391
114	959	7387
115	966	7368
116	975	7362
117	983	7349
118	991	7337
119	997	7317
120	1005	7307
121	1013	7290
122	1020	7276
123	1028	7262
124	1036	7255
125	1043	7237
126	1051	7225
127	1059	7215
128	1068	7215
129	1077	7208
130	1085	7201
131	1092	7183
132	1100	7175
133	1107	7155
134	1115	7149
135	1123	7134
136	1134	7146
137	1141	7131
138	1162	7198
139	1173	7207
140	1182	7206
141	1195	7226
142	1204	7218
143	1213	7212
144	1220	7193
145	1228	7186
146	1235	7170
147	1245	7168
148	1257	7183
149	1268	7187
150	1278	7189
151	1291	7204
152	1300	7202
153	1323	7271
154	1331	7259
155	1344	7276
156	1358	7295
157	1372	7312
158	1384	7324
159	1391	7305
160	1402	7306
161	1408	7287
162	1426	7323
163	1437	7325
164	1446	7322
165	1457	7321
166	1468	7323
167	1477	7314
168	1488	7317
169	1498	7315
170	1508	7312
171	1527	7354
172	1542	7374
173	1552	7368
174	1564	7374
175	1577	7386
176	1588	7385
177	1598	7382
178	1609	7383
179	1620	7384
180	1630	7376
181	1641	7378
182	1651	7374
183	1663	7377
184	1675	7382
185	1686	7379
186	1694	7368
187	1705	7367
188	1716	7366
189	1724	7350
190	1734	7348
191	1741	7330
192	1758	7352
193	1773	7368
194	1788	7382
195	1802	7392
196	1817	7409
197	1826	7400
198	1834	7386
199	1844	7376
200	1852	7364
201	1868	7381
202	1883	7394
203	1894	7393
204	1901	7375
205	1910	7364
206	1918	7349
207	1927	7339
208	1933	7319
209	1944	7314
210	1950	7295
211	1962	7293
212	1975	7299
213	1982	7281
214	1990	7267
215	1996	7247
216	2004	7234
217	2011	7215
218	2019	7203
219	2026	7184
220	2034	7172
221	2041	7155
222	2049	7142
223	2056	7125
224	2066	7118
225	2074	7103
226	2084	7100
227	2092	7085
228	2102	7078
229	2114	7078
230	2123	7069
231	2133	7062
232	2140	7045
233	2152	7044
234	2162	7038
235	2169	7023
236	2179	7015
237	2189	7010
238	2199	7003
239	2208	6993
240	2217	6984
241	2228	6980
242	2236	6966
243	2244	6953
244	2250	6936
245	2259	6924
246	2267	6912
247	2275	6898
248	2283	6885
249	2290	6870
250	2297	6856
251	2305	6843
252	2312	6827
253	2318	6810
254	2324	6792
255	2331	6776
256	2338	6760
257	2347	6750
258	2357	6744
259	2369	6743
260	2377	6731
261	2384	6717
262	2391	6702
263	2401	6694
264	2410	6685
265	2417	6671
266	2430	6673
267	2446	6683
268	2463	6694
269	2474	6690
270	2482	6677
271	2491	6667
272	2497	6649
273	2505	6638
274	2512	6624
275	2520	6611
276	2527	6598
277	2537	6591
278	2545	6578
279	2554	6568
280	2561	6553
281	2568	6540
282	2576	6528
283	2585	6518
284	2592	6504
285	2601	6494
286	2610	6486
287	2620	6479
288	2632	6477
289	2643	6472
290	2653	6463
291	2661	6453
292	2669	6440
293	2677	6430
294	2685	6417
295	2694	6407
296	2701	6393
297	2711	6387
298	2719	6375
299	2729	6368
300	2738	6360
301	2750	6356
302	2762	6354
303	2772	6348
304	2780	6336
305	2789	6326
306	2795	6311
307	2803	6299
308	2810	6285
309	2819	6275
310	2827	6263
311	2835	6253
312	2842	6238
313	2850	6227
314	2857	6214
315	2867	6205
316	2872	6189
317	2881	6179
318	2888	6166
319	2896	6155
320	2903	6141
321	2910	6128
322	2919	6120
323	2929	6112
324	2936	6099
325	2946	6092
326	2954	6080
327	2966	6077
328	2975	6068
329	2982	6055
330	2991	6046
331	2998	6033
332	3009	6027
333	3016	6014
334	3024	6003
335	3032	5992
336	3041	5984
337	3049	5972
338	3058	5964
339	3065	5950
340	3073	5940
341	3080	5926
342	3088	5916
343	3095	5903
344	3105	5895
345	3111	5881
346	3120	5873
347	3128	5862
348	3139	5856
349	3147	5844
350	3157	5838
351	3167	5830
352	3175	5819
353	3185	5812
354	3192	5799
355	3202	5792
356	3210	5783
357	3218	5772
358	3227	5762
359	3235	5752
360	3243	5741
361	3250	5729
362	3259	5720
363	3267	5708
364	3275	5697
365	3282	5686
366	3292	5678
367	3298	5665
368	3307	5656
369	3314	5644
370	3322	5632
371	3328	5619
372	3338	5611
373	3344	5597
374	3355	5592
375	3362	5579
376	3372	5572
377	3380	5563
378	3390	5555
379	3407	5559
380	3420	5556
381	3429	5547
382	3438	5539
383	3449	5533
384	3457	5523
385	3467	5515
386	3474	5503
387	3483	5494
388	3490	5482
389	3498	5472
390	3505	5459
391	3513	5449
392	3520	5437
393	3529	5428
394	3536	5417
395	3545	5408
396	3553	5398
397	3564	5390
398	3572	5380
399	3580	5370
400	3587	5358
401	3596	5349
